21649	221	5662	GS Ladies Dress SS CR 40 KGS	7.000	340.00	2380.00	2026-01-04 22:11:32.101467
21650	221	5621	GS Baby Blanket #1 40 KGS	2.000	35.00	70.00	2026-01-04 22:11:32.103341
21651	221	5623	GS Bed Sheet I 40 KGS	3.000	80.20	240.60	2026-01-04 22:11:32.1052
21652	221	5624	GS Belts #1 25 KGS	2.000	56.25	112.50	2026-01-04 22:11:32.106956
21653	221	5626	GS Boy Mix Pants 40 KGS	2.000	68.00	136.00	2026-01-04 22:11:32.108973
21654	221	5627	GS Boy Shirt 40 KGS	3.000	150.00	450.00	2026-01-04 22:11:32.110785
21655	221	5628	GS Boy Short I 40 KGS	3.000	115.00	345.00	2026-01-04 22:11:32.11271
21656	221	5629	GS Boy T Shirt SS #1 40 KGS	2.000	135.20	270.40	2026-01-04 22:11:32.181125
21657	221	5634	GS Cargo Pant 40 KGS	1.000	140.00	140.00	2026-01-04 22:11:32.184295
21658	221	5640	GS CCR White 40 KGS	2.000	40.20	80.40	2026-01-04 22:11:32.187195
21659	221	5635	GS CCR #1 40 KGS	15.000	200.00	3000.00	2026-01-04 22:11:32.189146
21660	221	5649	GS Hand Bags I 25 KGS	2.000	65.00	130.00	2026-01-04 22:11:32.190981
21661	221	5650	GS Heavy Curtain 40 KGS	4.000	40.00	160.00	2026-01-04 22:11:32.192836
21662	221	5653	GS Ladies Blouse I 40 KGS	25.000	115.00	2875.00	2026-01-04 22:11:32.194577
21663	221	5655	GS Ladies Body Tank Top 40 KGS	2.000	50.00	100.00	2026-01-04 22:11:32.1963
21664	221	5656	GS Ladies Body Under Wear T Shirt 40 KGS	2.000	120.00	240.00	2026-01-04 22:11:32.198103
21665	221	5658	GS Ladies Crop Top T Shirt & Blouse #1 25 KGS	10.000	75.00	750.00	2026-01-04 22:11:32.199845
21666	221	5660	GS Ladies Dress #1 40 KGS	15.000	122.00	1830.00	2026-01-04 22:11:32.201611
21667	221	5665	GS Ladies Long Jean Skirts 40 KGS	1.000	35.00	35.00	2026-01-04 22:11:32.203496
21668	221	5666	GS Ladies Long Skirt #1 40 KGS	2.000	105.00	210.00	2026-01-04 22:11:32.205489
21669	221	5667	GS Ladies Long Spring Dress 40 KGS	8.000	90.00	720.00	2026-01-04 22:11:32.207292
21670	221	5670	GS Ladies Nylon Rummage 40 KGS	2.000	125.00	250.00	2026-01-04 22:11:32.209022
21671	221	5657	GS Ladies Boyfriend #1 40 KGS	6.000	130.00	780.00	2026-01-04 22:11:32.210869
21672	221	5671	GS Ladies Party Dress 40 KGS	6.000	120.00	720.00	2026-01-04 22:11:32.212747
21673	221	5675	GS Ladies Tergal Pant 40 KGS	1.000	55.00	55.00	2026-01-04 22:11:32.283723
21674	221	5677	GS Ladies Winter Dress 45 KGS	1.000	65.00	65.00	2026-01-04 22:11:32.286088
21675	221	5678	GS Light Curtain I 40 KGS	2.000	40.20	80.40	2026-01-04 22:11:32.288366
21676	221	5707	GS MJP #1 50 KGS	3.000	112.00	336.00	2026-01-04 22:11:32.290504
21677	221	5686	GS Man Shirt #1 40 KGS	3.000	200.00	600.00	2026-01-04 22:11:32.292538
21678	221	5691	GS Man Suit  40 KGS	1.000	180.00	180.00	2026-01-04 22:11:32.294766
21679	221	5695	GS Man Underwear 40 KGS	1.000	126.00	126.00	2026-01-04 22:11:32.29748
21680	221	5704	GS Mix Shoes #1 25 KGS	1.000	100.00	100.00	2026-01-04 22:11:32.299596
21681	221	5712	GS Net Curtains 40 KGS	5.000	95.00	475.00	2026-01-04 22:11:32.301732
21682	221	5713	GS Nylon Sport #1 40 KGS	2.000	100.00	200.00	2026-01-04 22:11:32.303659
21683	221	5718	GS School Bag I 40 KGS	3.000	125.00	375.00	2026-01-04 22:11:32.305587
21684	221	5719	GS Slipers #1 20 KGS	2.000	35.00	70.00	2026-01-04 22:11:32.30747
21685	221	5721	GS Socks 40 KGS	6.000	75.00	450.00	2026-01-04 22:11:32.309433
21686	221	5723	GS Sport T Shirt 40 KGS	2.000	142.00	284.00	2026-01-04 22:11:32.311495
21687	221	5725	GS Textiles 40 KGS	3.000	60.00	180.00	2026-01-04 22:11:32.316395
21688	221	5732	GS Winter Cap I 45 KGS	3.000	50.00	150.00	2026-01-04 22:11:32.31862
21689	221	5733	GS Work Suits 40 KGS	6.000	45.00	270.00	2026-01-04 22:11:32.320514
21690	221	5622	GS Bed Sheet #2 40 KGS	6.000	40.20	241.20	2026-01-04 22:11:32.381116
21691	221	5630	GS Boy T Shirt SS #2 40 KGS	9.000	50.00	450.00	2026-01-04 22:11:32.385222
21692	221	5633	GS BRA II 40 KGS	2.000	80.00	160.00	2026-01-04 22:11:32.387775
21693	221	5642	GS Children Pant II 40 KGS	2.000	45.00	90.00	2026-01-04 22:11:32.390268
21694	221	5636	GS CCR #2  (CR)  40 KGS	20.000	110.00	2200.00	2026-01-04 22:11:32.392466
21695	221	6075	GS20095	5.000	15.00	75.00	2026-01-04 22:11:32.395142
21696	221	5647	GS CMR LIGHT 40 KGS	115.000	30.00	3450.00	2026-01-04 22:11:32.397159
21697	221	5654	GS Ladies Blouse II 40 KGS	25.000	25.00	625.00	2026-01-04 22:11:32.399946
21698	221	5661	GS Ladies Dress #2 40 KGS	14.000	63.00	882.00	2026-01-04 22:11:32.402747
21699	221	5663	GS Ladies Fashion Jacket 45 KGS	1.000	15.00	15.00	2026-01-04 22:11:32.40598
21700	221	5668	GS Ladies Mix T-Shirt ll 40 KGS	13.000	20.00	260.00	2026-01-04 22:11:32.408072
21701	221	5673	GS Ladies Skirt #2 40 KGS	18.000	35.00	630.00	2026-01-04 22:11:32.410065
21702	221	5676	GS Ladies Winter Dress #2 45 KGS	4.000	25.00	100.00	2026-01-04 22:11:32.413645
21703	221	5684	GS Man Condora #2 40 KGS	5.000	60.00	300.00	2026-01-04 22:11:32.415727
21704	221	5698	GS MCP #2 40 KGS	6.000	54.80	328.80	2026-01-04 22:11:32.417759
21705	221	5708	GS MJP #2 40 KGS	6.000	54.80	328.80	2026-01-04 22:11:32.419665
21706	221	5687	GS Man Shirt #2 40 KGS	6.000	75.00	450.00	2026-01-04 22:11:32.481107
21707	221	5692	GS Man T-Shirt #2 40 KGS	9.000	72.00	648.00	2026-01-04 22:11:32.484404
21708	221	5711	GS MTP #2 40 KGS	3.000	40.20	120.60	2026-01-04 22:11:32.486264
21709	221	5702	GS Mix Hand Bags #2 40 KGS	16.000	40.20	643.20	2026-01-04 22:11:32.488315
21710	221	5705	GS Mix Shoes #2 25 KGS	21.000	50.00	1050.00	2026-01-04 22:11:32.489873
21711	221	5716	GS Original Shorts #2 40 KGS	9.000	50.00	450.00	2026-01-04 22:11:32.491484
21712	221	5720	GS Slipper #2 20 KGS	4.000	15.00	60.00	2026-01-04 22:11:32.493246
21713	221	5714	GS Nylon Sport #2 40kgs	10.000	55.00	550.00	2026-01-04 22:11:32.495068
21714	221	5726	GS Towel #2 40 KGS	4.000	50.00	200.00	2026-01-04 22:11:32.496908
21715	221	5729	GS Vezon II 40 KGS	5.000	45.00	225.00	2026-01-04 22:11:32.498575
21716	221	5730	GS White Man Shirt #2 40 KGS	1.000	35.00	35.00	2026-01-04 22:11:32.500202
21717	221	5637	GS CCR #3 40 KGS	20.000	40.00	800.00	2026-01-04 22:11:32.501934
21718	221	5680	GS LMP #3 70 KGS	25.000	21.00	525.00	2026-01-04 22:11:32.503639
21719	221	5688	GS Man Shirt #3 40 KGS	4.000	45.20	180.80	2026-01-04 22:11:32.50557
21720	221	5703	GS Mix Hooded & Jogging #3 45 KGS	15.000	20.00	300.00	2026-01-04 22:11:32.507225
21721	221	5706	GS Mix Shoes #3 25 KGS	25.000	25.00	625.00	2026-01-04 22:11:32.508802
21722	221	5643	GS Children Pant III 40 KGS	1.000	20.00	20.00	2026-01-04 22:11:32.510421
21723	221	5693	GS Man T-Shirt #3 40 KGS	13.000	35.00	455.00	2026-01-04 22:11:32.581103
21724	221	5709	GS MJP #3  40 KGS	6.000	24.00	144.00	2026-01-04 22:11:32.583955
21725	221	5715	GS Nylon Sport #3  40 KGS	5.000	35.00	175.00	2026-01-04 22:11:32.585843
21726	221	5638	GS CCR #4 40 KGS	21.000	15.00	315.00	2026-01-04 22:11:32.587653
24945	259	2327	EG Baby Care 40 KGS	2.000	30.00	60.00	2026-01-10 10:41:07.804861
24946	259	53	EG Bathmat 40 KGS	1.000	50.00	50.00	2026-01-10 10:41:07.808149
24947	259	2328	EG Bed Sheet I 40 KGS	2.000	70.00	140.00	2026-01-10 10:41:07.810673
24948	259	1516	EG Belts I 25 KGS	2.000	56.25	112.50	2026-01-10 10:41:07.813449
24949	259	55	EG Blanket Mink	2.000	80.00	160.00	2026-01-10 10:41:07.883763
24950	259	56	EG Boy Mix Pants 40 KGS	1.000	68.00	68.00	2026-01-10 10:41:07.886754
24951	259	57	EG Boy Shirt #1 40 KGS	1.000	150.00	150.00	2026-01-10 10:41:07.889761
24952	259	59	EG Boy T Shirt SS I 40 KGS	2.000	135.20	270.40	2026-01-10 10:41:07.892832
24953	259	60	EG Boy Winter Shirt #1 40 KGS	1.000	80.00	80.00	2026-01-10 10:41:07.895732
24954	259	1517	EG Bra #1 40 KGS	1.000	130.00	130.00	2026-01-10 10:41:07.898246
24955	259	65	EG CCR White #1 40 KGS	3.000	45.20	135.60	2026-01-10 10:41:07.900972
21727	222	5397	3AP Football Cr 20 Kgs	1.000	240.00	240.00	2026-01-04 22:20:31.797248
21728	222	5409	3AP Ladies DRESS CR 40 KGS	3.000	340.00	1020.00	2026-01-04 22:20:31.798991
21729	222	5368	3AP Baby Blanket 40 KGS	5.000	40.00	200.00	2026-01-04 22:20:31.800544
21730	222	5371	3AP Boy Mix Pants 40 KGS	2.000	68.00	136.00	2026-01-04 22:20:31.802053
21731	222	5372	3AP Boy Shirt 40 KGS	2.000	150.00	300.00	2026-01-04 22:20:31.803787
21732	222	5373	3AP Boy T Shirt SS #1 40 KGS	3.000	135.20	405.60	2026-01-04 22:20:31.805514
21733	222	5381	3AP CCR White 40 KGS	5.000	45.20	226.00	2026-01-04 22:20:31.807022
21734	222	5382	3AP Children Boot 25 KGS	5.000	50.00	250.00	2026-01-04 22:20:31.808545
21735	222	5378	3AP CCR #1 40 KGS	16.000	210.00	3360.00	2026-01-04 22:20:31.810027
21736	222	5384	3AP Children Mix I 25 KGS	2.000	110.00	220.00	2026-01-04 22:20:31.811768
21737	222	5385	3AP Children Pants 40 KGS	1.000	100.00	100.00	2026-01-04 22:20:31.882904
21738	222	5389	3AP Children Underwear #1 40 KGS	1.000	130.00	130.00	2026-01-04 22:20:31.884557
21739	222	5398	3AP Hard Toys	2.000	26.00	52.00	2026-01-04 22:20:31.885984
21740	222	5399	3AP High Heal #1 25 KGS	3.000	62.50	187.50	2026-01-04 22:20:31.887469
21741	222	5402	3AP Karate Suit I 40 KGS	1.000	40.00	40.00	2026-01-04 22:20:31.888995
21742	222	5404	3AP Ladies Body Under Wear T Shirt 40 KGS	2.000	120.00	240.00	2026-01-04 22:20:31.89051
21743	222	5406	3AP Ladies CropTop T-Shirt & Blouse #1 40 KGS	10.000	120.00	1200.00	2026-01-04 22:20:31.89205
21744	222	5407	3AP Ladies Dress #1 40 KGS	18.000	122.00	2196.00	2026-01-04 22:20:31.893611
21745	222	5410	3AP Ladies Hawaii Pant #1 40 KGS	1.000	140.00	140.00	2026-01-04 22:20:31.895131
21746	222	5411	3AP Ladies Long Jean Skirts 40 KGS	6.000	40.00	240.00	2026-01-04 22:20:31.896745
21747	222	5412	3AP Ladies Long Skirt #1 40 KGS	2.000	110.00	220.00	2026-01-04 22:20:31.898436
