7	SUP-007	AJ TURKEY NEW	MR@MR.COM					t	2025-11-01 17:41:42.018482	52045.00	\N
18	TESTSU	TEST SUPPLIER						t	2025-12-04 07:29:25.119719	0.00	\N
15	GC	GOLDEN COAST	gc@gc.com					t	2025-11-05 15:25:51.861551	486575.08	\N
16	GC#1	GC SALES #1	GC@GC.COM					t	2025-11-10 08:47:34.668669	29228.00	\N
1	SUP-002	AJ DUBAI	AJ@AJ.COM					t	2025-11-01 16:51:46.281128	444140.89	\N
5	SUP-005	EUROGULF	EG@EG.COM					t	2025-11-01 16:53:24.781125	-456567.40	\N
2	SUP-001	H SARAH	HSARAH@HSARAH.COM					t	2025-11-01 16:52:30.786471	-31317.40	\N
9	SUP-009	AL ZAYDAAN	MJS@MJS.COM					t	2025-11-01 21:54:18.591894	-91608.55	\N
6	SUP-006	AJ TURKEY	MR@MR.COM					t	2025-11-01 17:41:05.291635	0.00	\N
8	SUP-008	AJ WINTER	AJ@AJ.COM					t	2025-11-01 17:42:31.231643	0.00	\N
12	SUP012	EUROPA	ET@ET.COM					t	2025-11-03 06:49:40.883221	0.00	\N
14	UN	UNITEX	UN@UN.COM					t	2025-11-05 13:00:32.266086	0.00	\N
11	SUP011	FALCON	UF@UF.COM					t	2025-11-03 06:48:56.070247	-3459.44	\N
3	SUP-003	GREEN STAR	GS@GS.COM					t	2025-11-01 16:52:56.183681	96731.95	\N
4	SUP-004	WH TURKEY	WH@WH.COM					t	2025-11-01 16:53:09.051585	-162214.12	\N
19	PLDAKI	PL DAKIK						t	2025-12-08 12:23:01.781201	32850.00	\N
17	US	USA	US@US.COM					t	2025-11-10 09:39:13.323607	50000.00	\N
13	SUP013	SK	SK@SK.COM					t	2025-11-03 06:49:50.212389	14087.29	\N
10	SUP-010	GRACER CHINA	GR@GR.COM					t	2025-11-01 22:11:27.063847	-45271.24	\N
\.


